id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,cluster_label
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,Bebe Rexha,[],0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,195519,4,2,Instrumental Calm
04bSh5WWt311Q3KORqSgdl,Mujhme Har Rang Ab Tumhara Hai,Jafar Husain Khan Badauni & Party,['qawwali'],0.368,0.499,11,-13.099,1,0.0686,0.889,0.0901,0.365,0.378,122.076,588000,4,1,Dance Party
04xs1gxrRCxdihXRBvi32R,Mujhko Khud Se,Kavita Seth,['sufi'],0.489,0.558,2,-9.979,0,0.0606,0.336,8.43e-05,0.0679,0.154,170.939,397214,4,2,Instrumental Calm
050BAbr8lNW7rFUWmkjF3U,Kyu Na Ho,Benny Dayal,['bollywood'],0.622,0.447,10,-8.963,0,0.0317,0.812,0.000147,0.125,0.531,126.064,261905,3,1,Dance Party
052pBuDNGs7hRnrlXYvaYR,Voh Ishq Jo Hamse,Farida Khanum,"['ghazal', 'sufi']",0.629,0.478,6,-7.906,1,0.045,0.922,0.0173,0.187,0.538,132.178,326013,3,1,Dance Party
056ajSBHEO3DbOtMM6jaoE,Kivain Mukhre Toon Nazran Hatawan - Complete Original Recording,Nusrat Fateh Ali Khan,['qawwali'],0.402,0.81,1,-5.087,1,0.0851,0.584,0.0,0.261,0.638,118.183,1312515,4,0,Energetic Happy
057ujSoF2wc5o0Qk5R2MRa,Udeekan Wich Raat Lang Gayi,Nusrat Fateh Ali Khan,['qawwali'],0.445,0.626,5,-12.902,0,0.0776,0.616,0.122,0.671,0.848,99.924,882404,4,3,Acoustic Chill
05K3fqqAsnDUcpAfzRasNq,O Priya Priya,Anuradha Paudwal,['ghazal'],0.323,0.604,1,-8.735,0,0.0387,0.919,0.00332,0.165,0.397,147.288,363174,4,0,Energetic Happy
05fVrhFBjfElZiDfHDRxhF,Let's Shut Up & Dance,Jason Derulo,[],0.765,0.893,6,-2.891,0,0.209,0.042,0.000271,0.0331,0.715,110.051,208261,4,2,Instrumental Calm
05ilXDXNtWZzQwJLMt84B2,Bolo Jai Ganesh Deva,Anup Jalota,['ghazal'],0.456,0.655,5,-7.82,1,0.0925,0.663,0.0,0.352,0.733,91.469,251326,3,0,Energetic Happy
05rgxW2lW2SvhEaU0B8bU5,Ya Hayyo Ya Qayyum,Nusrat Fateh Ali Khan,"['sufi', 'qawwali']",0.508,0.812,1,-6.404,1,0.066,0.563,0.0,0.86,0.695,101.717,1053959,4,3,Acoustic Chill
05xJLiBNqKLcoPq3814YNC,Odam Kireç Tutmuyor,Ahmet Senyüz,['sufi'],0.472,0.619,2,-5.322,0,0.0322,0.42,0.917,0.119,0.398,95.413,287280,5,4,Rap / Spoken
